author,published_at,updated_at,like_count,text,cyberbullying_type,label
@carolmizelle1317,2025-03-01T16:14:03Z,2025-03-01T16:14:03Z,0,Trump is narcissism personified. smh embarrassing,"toxicity, threat",bullying
@Yourmother-z6n,2024-02-28T01:01:56Z,2024-02-28T01:02:33Z,0,"If my child killed someone, Viciously. I wouldn&#39;t be there at court. I wouldn&#39;t go visit them. My child would be dead to me! Like there is no way I would side with my child. I wouldn&#39;t try to give any reason or excuse why he/she did it.",non-toxic,non-bullying
@ศิวดลธนทรัพย์ไพศาล,2025-03-02T02:32:56Z,2025-03-02T02:32:56Z,1,Offender(north korea+russia) go back home without any reasons are could be.🤔,non-toxic,non-bullying
@anjaLeo,2025-03-03T20:23:32Z,2025-03-03T20:23:32Z,0,T.... fool,"toxicity, threat",bullying
@kathymeyers3128,2025-03-01T00:50:30Z,2025-03-01T00:50:30Z,1,stop bullying Zelensky!,non-toxic,non-bullying
@ЕвгенийДевятко-д5ж,2024-11-16T08:35:44Z,2024-11-16T08:35:44Z,0,"@MrBeast who is ths player 365? <a href=""https://www.youtube.com/watch?v=0e3GPea1Tyg&amp;t=215"">3:35</a>",non-toxic,non-bullying
@許閔翔-i5r,2024-02-21T22:00:44Z,2024-02-21T22:00:44Z,0,早安  希望 韓國女明星(秀智) 和 (潤娥) 可以嫁個好男人 一輩子幸福+157,non-toxic,non-bullying
@AlchemicalForge91,2025-03-01T19:15:14Z,2025-03-01T19:15:14Z,0,Trump spanked the guy with the street clothes with the money laundering beggar’s bucket,toxicity,bullying
@iCover480,2025-02-28T21:06:42Z,2025-02-28T21:06:42Z,3,Putin starts this war and now Trump is backing him and turning their backs on Ukraine. What a pathetic JOKE,"toxicity, threat",bullying
@ray-vw5qm,2024-09-22T18:16:11Z,2024-09-22T18:16:11Z,0,The courts need to delay action.on this stuff to let people get some revenge,non-toxic,non-bullying
@skaidrawaters4935,2025-03-13T18:21:47Z,2025-03-13T18:21:47Z,0,"Holaaaay. Trump interrupting Z, while excessively repeating himself, and his dumb little minion telling Z to use his manners. Good lord. This is ridiculous. Trumpty’s little minion is an annoying little turd.","toxicity, threat",bullying
@LiaEstherVenturaAybar-o8o,2024-02-23T17:00:26Z,2024-02-23T17:00:26Z,0,Ahí esta camila<br>Un líder por eso,non-toxic,non-bullying
@shaynemarcelline8289,2024-08-12T16:54:04Z,2024-08-12T16:54:04Z,4,The two brother in the last clip got they hits it for sure.,non-toxic,non-bullying
@kaitotrann80,2018-08-14T06:41:22Z,2018-08-14T06:41:22Z,0,V,non-toxic,non-bullying
@aesthetichxney2879,2024-11-26T13:35:53Z,2024-11-26T13:35:53Z,0,Why is Camilla there,non-toxic,non-bullying
@noelparis624,2025-03-02T15:56:07Z,2025-03-02T15:56:16Z,1,Trump is a damn idiot,"toxicity, identity_attack, threat",bullying
@陈聪-f4c,2025-03-02T04:41:04Z,2025-03-02T04:41:04Z,1,"The United States encouraged Ukraine against Russia, and now the United States has abandoned Ukraine, the whole game is as simple as that",non-toxic,non-bullying
@sdm2264,2025-03-06T04:18:58Z,2025-03-06T04:18:58Z,0,God damn both of them,"toxicity, identity_attack, threat",bullying
@mirazam7188,2017-07-10T07:17:56Z,2017-07-10T07:17:56Z,0,wonder full commando corse,non-toxic,non-bullying
@wellmaywesay,2025-03-01T01:46:52Z,2025-03-01T01:46:52Z,0,Who was the bearded guy? So patronising and condescending,non-toxic,non-bullying
@snehamotavar6664,2020-06-17T20:03:08Z,2020-06-17T20:03:08Z,1,"Whats the shit about posing, enacting crap! Lie","toxicity, identity_attack, threat",bullying
@Pixelfusion-j7i,2025-03-02T15:15:22Z,2025-03-02T15:15:22Z,1,"Shame on American Govt. Such an humiliating. Before the election Trump talks about jesus Christ but after winning..becomes Greedy, talking for his own benefits..demanding 50℅ minerals from Ukrainian 🇺🇦soil, In place of peace. Shame on you Donald Trump..",non-toxic,non-bullying
@johnbishop2095,2025-02-28T21:16:43Z,2025-02-28T21:16:43Z,0,Trump and vp are just bully babies-We should all be ashamed of their lack of HUMANITY !!!,"toxicity, threat",bullying
@lorieglington4754,2025-02-28T19:46:19Z,2025-02-28T19:46:19Z,1,"I am proud that Zelensky didn&#39;t put up with trump and vance&#39;s bullshit.  They want want want but what do they give back?  He wants the minerals to build his gaza plaza.  Fu_k the white house and wanting thank you&#39;s for nothing.  Who else are they asking to pay them back for help, no one.  I didn&#39;t have to see this to know that trump is fuc ing him over for his buddy Putin.  Be isn&#39;t fooling anyone.","toxicity, identity_attack",bullying
@aidancoutts2341,2024-05-11T15:53:57Z,2024-05-11T15:53:57Z,0,Thank god all the interesting bits were blurred,non-toxic,non-bullying
@youu-xh1mf,2025-04-15T15:08:32Z,2025-04-15T15:08:32Z,0,Its easy to dissapoint one person but dissapointing whole world is next level.<br>Well done ORANGE fool.<br>Congratss.,"toxicity, threat",bullying
@maryammohamed8904,2020-04-20T20:25:49Z,2020-04-20T20:25:49Z,12,Lockdown got me here :-)) At the end he is the winner!!!,non-toxic,non-bullying
@alejandroalatorre4956,2024-04-11T04:28:46Z,2024-04-11T04:28:46Z,0,Here are those who saw Yaja Cano,non-toxic,non-bullying
@GavinRoss-r8h,2024-02-26T04:40:47Z,2024-02-26T04:40:47Z,0,You you created an OF star with 067 noooooo do you realize what you have done NOOOOOOOOOO 😭,non-toxic,non-bullying
@TeeDeeKee,2024-02-25T04:52:28Z,2024-02-25T04:52:28Z,0,Narubeast gon crazy,"toxicity, threat",bullying
@許閔翔-i5r,2024-09-13T22:03:03Z,2024-09-13T22:03:03Z,2,早安  希望 韓國女明星(秀智) 和 (潤娥) 可以嫁個好男人 一輩子幸福+360（每天情人節快樂）,non-toxic,non-bullying
@Capw__,2024-05-09T12:22:06Z,2024-05-09T12:22:06Z,0,casa,non-toxic,non-bullying
@animalloverakash,2025-03-01T08:16:46Z,2025-03-01T08:16:46Z,0,Usa only think about their own benefits 😅 ......So indian politician never believe on Americans politician....  so We as indians think about our own country too....,non-toxic,non-bullying
@judyvaldez735,2024-03-24T21:32:01Z,2024-03-24T21:32:01Z,0,"He only feels sorry now cause hes going to prison,and the brothers in there will kill him.","toxicity, sexual_explicit",bullying
@TrishStrung,2025-02-28T20:05:02Z,2025-02-28T20:05:02Z,0,This display of total disrespect shown by Trump and Vance is so humiliating. I hope Zelensky stops trying to talk to these fools. They no nothing of diplomacy. unreal.,"toxicity, threat",bullying
@marsbelediyebaskani5193,2025-03-01T22:57:37Z,2025-03-01T22:57:37Z,1,Make Tesla Great Again 😂😂😂 stupid Americans deserve this people.,"toxicity, threat",bullying
@shnacklz,2017-06-01T20:55:23Z,2017-06-01T20:55:23Z,0,Hehe,non-toxic,non-bullying
@gmgorgeousstar5879,2020-07-05T23:09:34Z,2020-07-05T23:09:34Z,1,"Kangana Khul k bolti haiiii Hrithik k bare mai. With confidence ...on other side. .He had never spoke Abt her publicly , given only private Interviews ..it shows ....fattu hai ye ...itna hi Sacha hai. .to darr kis bat ka ????..khud ki Productions mai Kangana ko lete ho ..aur phir natak krte ho 😡😡😡",non-toxic,non-bullying
@dames7245,2017-03-21T02:26:07Z,2017-03-21T02:26:07Z,0,You guys suck,"toxicity, threat",bullying
@marknarain6617,2019-07-01T13:06:26Z,2019-07-01T13:06:26Z,0,hrithik should kick slap the stupid asshole,"toxicity, threat, sexual_explicit",bullying
@FortunaMEJG,2024-05-08T22:58:22Z,2024-05-08T22:58:22Z,0,"<a href=""https://www.youtube.com/watch?v=FE2In6NKRN4&amp;t=838"">13:58</a> so people are different in value now?",non-toxic,non-bullying
@soulfully_Australian,2025-03-03T06:35:56Z,2025-03-03T06:35:56Z,0,"Zelensky was never, never a saint. This man is equally responsible for the bloodshed. A puppet, a s*tupid clown. Trump says the truth. Simple. Now media is all over it because they have no other angle to attack Trump. Trump won. The whole world against him- lost.","toxicity, threat",bullying
@Justice_Warriors,2025-02-28T20:58:03Z,2025-02-28T20:58:03Z,0,"I knew that Zelensky will be face like this situation, he destroyed his country because of others and now got humiliated . he should have to fix it at the first with Putin so he will not face like this .",non-toxic,non-bullying
@suchithb.s397,2025-03-01T07:33:40Z,2025-03-01T07:33:40Z,1,This facking zelenski is killer of his. Own people,toxicity,bullying
@Mr7535649,2025-03-01T20:37:16Z,2025-03-01T20:37:16Z,1,Zelensky will go down is history as the greatest president to ever stand by his country. Trump will be the cause of the fall of everything...he is a disgrace of an orange old cake,"toxicity, threat",bullying
